filename,text_type,avg_coherence,variance,num_sentence_pairs,top_5_highest,top_5_lowest
WP1_1,original,0.3503,0.0252,13,"(Todesfälle durch COVID19 sind bei Kindern und Juge... | Bis zum 01.09.2020 wurden deutschlandweit 3 Todesf...) = 0.681; (Die aktuelle Studienlage deutet darauf
hin, dass K... | Zu schweren Verläufen
kommt es bei Kindern selten,...) = 0.513; (Bis zum 01.09.2020 wurden deutschlandweit 3 Todesf... | Diese hatten jeweils Vorerkrankungen [6]....) = 0.459; (Weiterhin stellen sie sich
die Frage nach der gesu... | Die vorliegende
Erhebung stellt die Pandemiesituat...) = 0.437; (Häufig
werden Kinder- und Jugendärztinnen
und -ärz... | B.
Kindergarten- und Schulschließungen,
und deren ...) = 0.432","(B.
Kindergarten- und Schulschließungen,
und deren ... | Weiterhin stellen sie sich
die Frage nach der gesu...) = 0.102; (Darüber hinaus ist leider nicht bekannt, wie viele... | Todesfälle durch COVID19 sind bei Kindern und Juge...) = 0.168; (Diese hatten jeweils Vorerkrankungen [6].... | Ob Kinder
grundsätzlich eine geringere Infektionsp...) = 0.196; (Deshalb stellen sich die
Fragen, ob nicht alle Kin... | Darüber hinaus ist leider nicht bekannt, wie viele...) = 0.200; (Diese beiden Altersgruppen
repräsentieren jedoch j... | Deshalb stellen sich die
Fragen, ob nicht alle Kin...) = 0.245"
K01_5,original,0.3280,0.0325,18,"(Die Auswirkungen der Digitalisierung auf Unternehm... | Die 
Bedeutung der Wirtschaft bei dem Thema Digita...) = 0.759; (Produkte und Services 
Vor allem die ‚Digitization... | Eine Person kann dadurch die für 
ihn nötigen Serv...) = 0.619; (Eine Person kann dadurch die für 
ihn nötigen Serv... | Im Gegensatz 
zu einem physischen Produkt, lässt s...) = 0.538; (Digitale 
Produkte, Services und Prozesse werden g... | Dadurch, dass die Digitalisierung 
essentiellen Ei...) = 0.537; (Eine vortreffliche Digitalstrategie 
steigert nich... | Digitale 
Produkte, Services und Prozesse werden g...) = 0.447","(Die 
Zykluszeiten sinken durchschnittlich um 75 Pr... | Diese freigesetzten 
Ressourcen helfen wiederum, d...) = 0.113; (Diese freigesetzten 
Ressourcen helfen wiederum, d... | Unternehmen 
sollten in den kommenden fünf bis zeh...) = 0.130; (Im Gegensatz 
zu einem physischen Produkt, lässt s... | in unbegrenzter Menge zur Verfügung....) = 0.163; (Unternehmen 
sollten in den kommenden fünf bis zeh... | Eine vortreffliche Digitalstrategie 
steigert nich...) = 0.188; (Dadurch, dass die Digitalisierung 
essentiellen Ei... | Eine Person ist durch das Internet nicht mehr dazu...) = 0.203"
WP5_2,original,0.1655,0.0048,11,"(Doch auch wenn farbige und farbig grundierte Papie... | Jean-Baptiste Oudrys Folge von Tier- und Landschaf...) = 0.274; (Es ist demzufolge differenziert zu betrachten und ... | [37] Damit ist letztlich angedeutet, dass sich auc...) = 0.260; (Jean-Baptiste Oudrys Folge von Tier- und Landschaf... | 3),[40] veranschaulicht dies anhand der aufwendig ...) = 0.250; (Liegt in der zugrundeliegenden Farbigkeit geradezu... | Es ist demzufolge differenziert zu betrachten und ...) = 0.214; ([37] Damit ist letztlich angedeutet, dass sich auc... | Können weiße Papiere gerade deshalb als besondere ...) = 0.187","(Können weiße Papiere gerade deshalb als besondere ... | Da, wo der Zeichenstift nicht hinkommt, ist also L...) = 0.094; (Da, wo der Zeichenstift nicht hinkommt, ist also L... | Dass dieses Auslassen, Umgehen, Umfahren eine eige...) = 0.099; (Dass dieses Auslassen, Umgehen, Umfahren eine eige... | [38] Ihnen gemein ist, dass die Lichter durch das ...) = 0.103; ([38] Ihnen gemein ist, dass die Lichter durch das ... | Ein stimmiges und überzeugendes Helldunkel konnte ...) = 0.104; (Wenn das blaue Papier fürs Zeichnen von Schatten u... | Liegt in der zugrundeliegenden Farbigkeit geradezu...) = 0.106"
K01_1,original,0.1939,0.0002,2,"(Zwischen Wahrnehmung, Realität und dem Messbaren e... | Bei dem Themengebiet der Digitalisierung 
hat jede...) = 0.208; (Bei dem Themengebiet der Digitalisierung 
hat jede... | Diese Arbeit stellt 
mithilfe von Bewertungen zu m...) = 0.180","(Bei dem Themengebiet der Digitalisierung 
hat jede... | Diese Arbeit stellt 
mithilfe von Bewertungen zu m...) = 0.180; (Zwischen Wahrnehmung, Realität und dem Messbaren e... | Bei dem Themengebiet der Digitalisierung 
hat jede...) = 0.208"
K13_2,original,0.4234,0.0439,23,"(Bei einer Projektübersicht 
handelt es sich um ein... | Außerdem enthält  es auch 
Verweise auf kritische ...) = 0.765; (Eines 
dieser  Modelle ist das Vertragsmodell, die... | Eine 
beteiligt ist, die Art der Interaktion mit a...) = 0.737; (Zu den allgemeinen 
Informationen in diesem Dokume... | Gegebenenfalls 
können auch detaillierte Architekt...) = 0.727; (Agile Dokumentation sind in erster Linie  normale ... | Sie sind 
agil sobald sie den Stakeholder Return o...) = 0.663; (Eine 
beteiligt ist, die Art der Interaktion mit a... | Bei einer Projektübersicht 
handelt es sich um ein...) = 0.648","(Außerdem enthält  es auch 
Verweise auf kritische ... | Weiterhin  unterstützt sie 
Entwickler, Manager, W...) = 0.095; (Weiterhin  unterstützt sie 
Entwickler, Manager, W... | Als nächste Dokumentart 
ist das Anforderungsdokum...) = 0.127; (Grund  dafür ist der Zeitverlust für  Wartungen un... | Eines 
dieser  Modelle ist das Vertragsmodell, die...) = 0.187; (Es ist wichtig, 
dass man zwischen diesen verschie... | Zum einen 
für schnelle Suchvorgänge, zum anderen ...) = 0.207; (Gegebenenfalls 
können auch detaillierte Architekt... | Das letzte Dokumentenmodell 
ist das Benutzermodel...) = 0.209"
K04_1_processed,original,0.5788,0.0124,6,"(Viele zahlreiche  Unternehmen, insbesondere aus de... | In  Anwendungen wie Google Maps oder auch in Sprac...) = 0.703; (Die KI gewinnt immer mehr an Bedeutung , sowohl in... | Für Unternehmen stellt die KI als Technologie ein ...) = 0.681; (Neue Fortschritte und  Technologien verändern stän... | Der globale Markt für KI -basierte  Dienstleistung...) = 0.636; (In  Anwendungen wie Google Maps oder auch in Sprac... | Die KI gewinnt immer mehr an Bedeutung , sowohl in...) = 0.561; (Der globale Markt für KI -basierte  Dienstleistung... | Viele zahlreiche  Unternehmen, insbesondere aus de...) = 0.516","(Die heutige Weltwirtschaft wandelt sich im rasante... | Neue Fortschritte und  Technologien verändern stän...) = 0.377; (Der globale Markt für KI -basierte  Dienstleistung... | Viele zahlreiche  Unternehmen, insbesondere aus de...) = 0.516; (In  Anwendungen wie Google Maps oder auch in Sprac... | Die KI gewinnt immer mehr an Bedeutung , sowohl in...) = 0.561; (Neue Fortschritte und  Technologien verändern stän... | Der globale Markt für KI -basierte  Dienstleistung...) = 0.636; (Die KI gewinnt immer mehr an Bedeutung , sowohl in... | Für Unternehmen stellt die KI als Technologie ein ...) = 0.681"
K01_3,original,0.4425,0.0507,6,"(Die Definition 
des Begriffs ‚Digitalisierung‘ ist... | Dies ist zu 
unterscheiden, da es sich um untersch...) = 0.756; (Die Digitalisierung ist ein fester Bestandteil des... | Die Definition 
des Begriffs ‚Digitalisierung‘ ist...) = 0.706; (Digitization bezeichnet die Umwandlung analoger In... | Der 
Fokus richtet sich auf die Konvertierung der ...) = 0.463; (Dies ist zu 
unterscheiden, da es sich um untersch... | Digitization bezeichnet die Umwandlung analoger In...) = 0.305; (Inzwischen wird dieser Vorgang auch rückwertig gen... | Dadurch 
sind enorme Kosteneinsparungspotenziale m...) = 0.288","(Der 
Fokus richtet sich auf die Konvertierung der ... | Inzwischen wird dieser Vorgang auch rückwertig gen...) = 0.137; (Inzwischen wird dieser Vorgang auch rückwertig gen... | Dadurch 
sind enorme Kosteneinsparungspotenziale m...) = 0.288; (Dies ist zu 
unterscheiden, da es sich um untersch... | Digitization bezeichnet die Umwandlung analoger In...) = 0.305; (Digitization bezeichnet die Umwandlung analoger In... | Der 
Fokus richtet sich auf die Konvertierung der ...) = 0.463; (Die Digitalisierung ist ein fester Bestandteil des... | Die Definition 
des Begriffs ‚Digitalisierung‘ ist...) = 0.706"
WP2_1_processed,original,0.2270,0.0195,26,"(Letzterer ist jedoch eine kostenintensive Entfernu... | Bei der extraktiven Rückgewinnung handelt es sich ...) = 0.553; (Bei der extraktiven Rückgewinnung handelt es sich ... | Die Chloridionen verbleiben dabei in der Ätzlösung...) = 0.509; (Für den Zeitraum bis 2024 wird angenommen, dass si... | 2 Die Herstellung der meisten Leiterplatten erfolg...) = 0.481; (Industrie 4.0, autonomes Fahren, schnelle Telekomm... | Sie bedürfen leistungsfähiger Leiterplatten (PCBs;...) = 0.405; (Dieser Begriff umschreibt, dass ein Wertstoff in v... | Die hier vorgestellte Rückgewinnung von Aluminium ...) = 0.401","(Nach Ansäuern auf pH < 4 wird sulfatisch reextrahi... | 9  Das Konzept der Wertstoffchemie sieht vor, Rohs...) = 0.094; (Die Chloridionen verbleiben dabei in der Ätzlösung... | Nach Ansäuern auf pH < 4 wird sulfatisch reextrahi...) = 0.094; (2 Die Herstellung der meisten Leiterplatten erfolg... | Hierbei werden bis zu 70 % des aufgetragenen Kupfe...) = 0.097; (Mithin kann es auch zur Behandlung aluminiumhaltig... | Damit ist der Kreislauf – über Umwege – geschlosse...) = 0.100; (Die verbrauchte Lösung aus der Leiterplattenätzung... | Die feste Phase wird wegen ihres über Kupfer hinau...) = 0.101"
WP3_4_processed,original,0.2624,0.0217,15,"(Somit sollten sowohl auf dem Weg zu einem erfolgre... | Zusammenhänge zwischen psychologischen Faktoren un...) = 0.547; (Während psychologische Komponenten in der Sportver... | Es besteht die Annahme, dass Verletzungen und Leis...) = 0.542; (Dieses beruht auf empirischen Untersuchungen zu ps... | Wie Kleinert in seinem Beitrag herausstellt, kamen...) = 0.460; (Obwohl in der Literatur bereits auf unterschiedlic... | Da defizitär verarbeitete Stress-Situationen mit e...) = 0.374; (Es besteht die Annahme, dass Verletzungen und Leis... | Handballer sind oft enormen Stress-Situationen aus...) = 0.328","(Zusammenhänge zwischen psychologischen Faktoren un... | Denn wie die Übersichtsarbeit von Ardern, Taylor, ...) = 0.102; (Wettkampfdichte, Trainererwartungen, medialer Druc... | Selbstwirksamkeitsüberzeugung, Kontrollüberzeugung...) = 0.107; (Denn wie die Übersichtsarbeit von Ardern, Taylor, ... | Obwohl viele Sportler nach einer Operation eine gu...) = 0.125; (Handballer sind oft enormen Stress-Situationen aus... | Wettkampfdichte, Trainererwartungen, medialer Druc...) = 0.132; (Eine ausgewogene Balance zwischen Erholung und Bea... | Ungenügende Erholung kann sowohl zu psychischen, a...) = 0.177"
WP4_2_processed,original,0.2206,0.0244,71,"(Im Folgenden schlagen wir den Begriff „hybrider Pa... | Der Begriff bezieht sich auf einige Grundmechanism...) = 0.638; (Zusammenfassend lässt sich feststellen, dass das h... | Seit der Machtübernahme von Xi Jinping (2012 als G...) = 0.636; (Diese Studien beziehen sich auf unterschiedliche T... | Folglich werden zur Umschreibung des chinesischen ...) = 0.597; (Die Trennlinien zwischen verschiedenen Eigentumsve... | Es existiert ein breites Spektrum hybrider Eigentu...) = 0.593; (Dabei lassen sich unterschiedliche Stränge ausmach... | 2019), oder wiederum solche, die die Einzigartigke...) = 0.583",(Als charakteristischen Widerspruch dieses politisc... | 2020; Leutert und Eaton 2021)....) = 0.093; (Die politische Legitimation des Parteistaats ist m... | Lange Zeit war hierfür die individuelle Aufstiegse...) = 0.093; (In China sind die Verwertungsinteressen der Untern... | Der Zugang zu wirtschaftlicher Macht war lange Zei...) = 0.093; (Historisch hatte sich in China kein eigenständiges... | Zudem ist eine autonome Organisierung von Arbeitne...) = 0.094; (Lange Zeit war hierfür die individuelle Aufstiegse... | Die Hybridität des chinesischen Parteistaatskapita...) = 0.094
WP3_2_processed,original,0.2439,0.0220,39,"(Betrachtet man die Kreuzbandverletzungsrate für de... | Für Frauen liegt die Rate bei 0,72 – 2,79/1000 Stu...) = 0.717; (Obwohl sportmedizinische Erkenntnisse zur Optimier... | 10 – 40 Verletzungen pro 1000 Spielstunden liegt [...) = 0.631; (Eine besondere Bedeutung im Handball kommt dem Kni... | Das Knie ist im Handball mit 18 – 35 % das am häuf...) = 0.551; (Um einerseits die handballspezifische Leistung zu ... | Obwohl sportmedizinische Erkenntnisse zur Optimier...) = 0.508; (Das Knie ist im Handball mit 18 – 35 % das am häuf... | Vor allem das vordere Kreuzband weist eine hohe Ve...) = 0.439","(Zeitgleich ist die Re-Ruptur-Rate gerade bei frühe... | haben in ihrer Untersuchung herausgestellt, dass d...) = 0.096; (haben in ihrer Untersuchung herausgestellt, dass d... | 29,9 % der untersuchten Athleten erlitten innerhal...) = 0.103; (29,9 % der untersuchten Athleten erlitten innerhal... | Einer konsequenten Ausbehandlung bis zur Wiedererl...) = 0.106; (Das VKB wird oftmals bei der Landung nach einem Sp... | „Valgus-Moment“, durch Drehbewegungen oder abrupte...) = 0.112; (Hierbei handelt es sich jedoch nicht um eine diffe... | Dennoch geben diese Zahlen einen kritischen Hinwei...) = 0.117"
WP5_4,original,0.1078,0.0004,12,"([92]

Auch wenn Elisabeth Vigée-Lebrun während ihr... | Zeit spielte bei der wachsenden Auftragslage sowie...) = 0.153; (Obgleich eine materialtechnische Einschränkung – n... | Vor dem Hintergrund, dass die für die Pastellmaler...) = 0.143; (Diese Vorbereitungen beschleunigten den Malvorgang... | Obgleich eine materialtechnische Einschränkung – n...) = 0.115; (Ebenso waren die händeringend entwickelten Fixieru... | [92]

Auch wenn Elisabeth Vigée-Lebrun während ihr...) = 0.107; (Vor dem Hintergrund, dass die für die Pastellmaler... | [90] Die Pastellmalerei wird den Anforderungen auf...) = 0.107",([91] Andersherum kamen der fragilen Technik die da... | Denn die stets gefährdete Haftung der Farbpartikel...) = 0.093; (Zweifelsfrei besteht in der Herstellung von Stifte... | Diese Vorbereitungen beschleunigten den Malvorgang...) = 0.093; (Denn die stets gefährdete Haftung der Farbpartikel... | Aufgrund dieser Fragilität waren Versendungen von ...) = 0.095; (So wandte sie sich ab den 1820er Jahren in dieser ... | [93] Pastellmalerei und Mobilität werden zu sich v...) = 0.095; ([90] Die Pastellmalerei wird den Anforderungen auf... | [91] Andersherum kamen der fragilen Technik die da...) = 0.097
WP2_4,original,0.1633,0.0025,5,"(Mithilfe des vorgestellten Verfahrens ist es mögli... | Dieses enthält zwar noch eine beträchtliche Menge ...) = 0.230; (Vergleichsuntersuchungen haben gezeigt, dass das h... | Hierbei ist es analog zu kommerziellen, aluminiumh...) = 0.197; (Aufgrund der ermittelten Zusammensetzung und Stoff... | Vergleichsuntersuchungen haben gezeigt, dass das h...) = 0.177; (Das Flockungsmittel weist eine hohe Basizität (0,6... | Aufgrund der ermittelten Zusammensetzung und Stoff...) = 0.115; (Dieses enthält zwar noch eine beträchtliche Menge ... | Das Flockungsmittel weist eine hohe Basizität (0,6...) = 0.098","(Dieses enthält zwar noch eine beträchtliche Menge ... | Das Flockungsmittel weist eine hohe Basizität (0,6...) = 0.098; (Das Flockungsmittel weist eine hohe Basizität (0,6... | Aufgrund der ermittelten Zusammensetzung und Stoff...) = 0.115; (Aufgrund der ermittelten Zusammensetzung und Stoff... | Vergleichsuntersuchungen haben gezeigt, dass das h...) = 0.177; (Vergleichsuntersuchungen haben gezeigt, dass das h... | Hierbei ist es analog zu kommerziellen, aluminiumh...) = 0.197; (Mithilfe des vorgestellten Verfahrens ist es mögli... | Dieses enthält zwar noch eine beträchtliche Menge ...) = 0.230"
